city,lat,lng
lenias,40.76667,20.39139
lekas,40.60222,20.5125
lazarat,40.04667,20.1475
labinot-mal,41.20083,20.15222
labinot-fushë,41.14056,20.14611
kushovë,40.78889,20.18889
kurbnesh,41.77972,20.08361
kukur,40.86778,20.36361
kukës,42.07694,20.42194
kthella e epërme,41.81194,20.05889
krumë,42.19694,20.41333
krastë,41.42278,20.205
korçë,40.61861,20.78083
kolsh,42.07806,20.34194
kodovjat,40.80556,20.25111
klos,41.50694,20.08667
këlcyrë,40.31306,20.18944
kastriot,41.72944,20.37722
kardhiq,40.12167,20.0275
kalis,41.83889,20.36667
iballë,42.1875,20.0025
hotolisht,41.15667,20.39722
hoçisht,40.60833,20.91417
gramsh,40.86972,20.18444
gostimë,41.14556,20.24
golaj,42.2475,20.38028
gjorica e sipërme,41.53444,20.45
gjirokastër,40.07583,20.13889
gjinar,41.0225,20.18889
gjinaj,42.11806,20.43583
gjergjan,41.04306,20.02972
gjegjan,41.93778,20.01111
fushë-muhurr,41.67972,20.33139
fushë-lurë,41.80611,20.23194
fushë-çidhnë,41.76056,20.34111
fushë-bulqizë,41.52194,20.28222
fushë-arrëz,42.06222,20.01667
frashër,40.36889,20.42444
fierzë,42.26056,20.01694
fajzë,42.16694,20.35083
ersekë,40.33778,20.67889
elbasan,41.11138,20.08224
drenovë,40.58333,20.79222
dishnicë,40.65139,20.81361
derjan,41.67361,20.05833
gjerbës,40.62917,20.25111
çorovodë,40.50417,20.22722
çlirim,40.4175,20.55028
cerava,40.85139,20.725
çepan,40.42056,20.26056
çarshovë,40.11806,20.54083
kokaj,41.87833,20.50472
buz,40.445,20.00472
bushtricë,41.87861,20.42194
burrel,41.61028,20.00889
bulqizë,41.49167,20.22194
bujan,42.32639,20.07639
bradashesh,41.105,20.0225
blinisht,41.86139,20
blerim,42.16056,20.19194
bilisht,40.6275,20.99
bicaj,41.99472,20.4125
dardhas,40.84583,20.65722
barmash,40.27778,20.61833
ballaban,40.41667,20.13444
arrën,41.91306,20.28833
arras,41.73583,20.32417
bytyç,42.31,20.20278
librazhd-qendër,41.19694,20.33556
funarë,41.19639,20.05972
moglicë,40.71806,20.43806
bogovë,40.57111,20.15
piskovë,40.27917,20.2725
lukovë,39.99222,19.91389
ksamil,39.76889,19.99972
zharrëz,40.70917,19.64972
zejmen,41.70778,19.68917
zall-herr,41.38944,19.8275
zall-bastar,41.42972,19.93028
xhafzotaj,41.34444,19.5475
vukatanë,42.02806,19.54778
vrap,41.1475,19.7875
vranisht,40.20972,19.69083
vorë,41.39083,19.655
vlorë,40.4696,19.48379
velipojë,41.87833,19.40556
velabisht,40.70167,19.93222
vaqarr,41.29917,19.74417
uznovë,40.69722,19.98028
ura vajgurore,40.76889,19.87778
ungrej,41.87528,19.79472
ulëz,41.68278,19.89333
topojë,40.76306,19.43278
tirana,41.32744,19.81866
thumanë,41.5475,19.67778
tërbuf,41.04,19.61417
tapi,40.79361,19.88028
synej,41.18,19.5425
sukth,41.38056,19.53778
strum,40.75111,19.7375
starovë,40.71722,19.91778
sinjë,40.64679,19.86924
sinaballaj,41.06889,19.69944
shkodër,42.06828,19.51258
shijak,41.34556,19.56722
shezë,41.02417,19.81611
shënkoll,41.69083,19.65333
shëngjergj,41.18333,19.53333
shalës,40.99861,19.94778
nicaj-shalë,42.29944,19.805
sevaster,40.39639,19.72972
selitë,41.63528,19.755
valbonë,42.45139,19.89167
selenicë,40.53056,19.63583
samaticë,40.80591,19.7516
ruzhdie,40.67083,19.69833
rubik,41.77444,19.78611
rrogozhinë,41.07639,19.66528
rrëshen,41.7675,19.87556
rrashbull,41.32278,19.51028
rrasa e sipërme,40.96778,19.82111
rrapë,42.04444,19.97056
roskovec,40.7375,19.70222
remas,40.88639,19.51139
qerret,42.05306,19.83722
qelëz,42.08972,19.895
pukë,42.04444,19.89972
progonat,40.21333,19.94472
prezë,41.42722,19.67278
poshnjë,40.78028,19.84417
portëz,40.69917,19.57444
pobrat,40.76713,19.78608
peza e madhe,41.2175,19.69611
petrelë,41.25306,19.85306
përparim,41.05,19.79917
perondi,40.77889,19.92306
peqin,41.04611,19.75111
patos fshat,40.64278,19.65083
patos,40.68333,19.61944
paskuqan,41.35389,19.80667
papër,41.05167,19.96083
pajovë,41.05472,19.8375
otllak,40.74389,19.93528
orikum,40.32528,19.47139
nikël,41.44417,19.74833
nicaj-shosh,42.24444,19.75806
ngraçan,40.64444,19.7925
ndroq,41.26389,19.65583
moravë,40.75972,19.90417
milot,41.68389,19.71556
memaliaj,40.35167,19.98028
mbrostar-urë,40.75361,19.57944
manzë,41.42861,19.59306
mamurras,41.5775,19.69222
maminas,41.37917,19.6075
magjatë,40.79167,19.92889
luzi i vogël,41.1275,19.57389
lushnjë,40.94194,19.705
luftinjë,40.44278,19.95444
libofshë,40.83444,19.55222
lezhë,41.78361,19.64361
levan,40.67611,19.48972
lekbibaj,42.29472,19.93167
lekaj,41.11444,19.60972
lapardha një,40.75472,19.94806
laç,41.63556,19.71306
kutë,40.47333,19.76639
kutalli,40.78389,19.78667
kurjan,40.7175,19.74556
kuman,40.72667,19.68667
kuçovë,40.80028,19.91667
kuç,42.03972,19.52528
kryevidh,41.10056,19.5275
krutja e poshtme,40.87194,19.68083
krujë,41.50917,19.79278
krrabë,41.21556,19.97139
krahës,40.43861,19.84444
kozarë,40.83083,19.90056
kotë,40.38944,19.60222
kopliku i siperm,42.22833,19.46667
koplik,42.21361,19.43639
kombësi,41.58167,19.98556
kolonjë,40.82417,19.60389
kolç,41.78667,19.67611
kavajë,41.18556,19.55694
katundi i ri,41.40306,19.51806
kastrat,42.3525,19.48917
kashar,41.34972,19.71028
karinë,41.06306,19.71611
karbunara e vogël,40.92194,19.71778
kamëz,41.38167,19.76028
kallmeti i madh,41.84889,19.68694
kallmet,41.41806,19.82139
kalenjë,40.59,19.77833
kajan,40.91417,19.88944
kaçinar,41.89333,19.89861
ishëm,41.54528,19.6
hysgjokaj,40.97167,19.78972
hot,42.36194,19.44417
himarë,40.10167,19.74472
helmas,41.18028,19.60694
hekal,40.56194,19.73583
havaleas,40.82028,19.89694
hasan,41.48278,19.69972
hajmel,41.95306,19.63778
gurra e vogël,41.53611,19.99083
guri i zi,42.045,19.57472
gruemirë,42.15917,19.51889
greshicë,40.55194,19.77833
grekan,40.92944,19.9475
gradishtë,40.88806,19.58583
gracen,41.15194,19.96361
grabjan,40.95306,19.58083
gosë e madhe,41.09056,19.62472
goraj,40.81194,19.9475
golem,40.96778,19.68528
gjoçaj,41.02556,19.72389
gjepalaj,41.33306,19.57806
"gjadër, dajc",41.88,19.59139
gegë,40.83694,19.92611
fushëkuqe,41.65028,19.62
fushë-krujë,41.47833,19.71778
fratar,40.5,19.81667
frakulla e madhe,40.65583,19.5025
fier-shegan,40.86722,19.78528
fier-çifçi,40.71667,19.56667
fier,40.7251,19.55823
farka e madhe,41.31191,19.87072
dushnik,40.73194,19.95278
durrës,41.32355,19.45469
duhanas,40.72111,19.99333
drenovicë,40.79183,19.7685
divjakë,40.99667,19.52944
dhërmi,40.15139,19.63889
dërmënas,40.74556,19.49389
vau i dejës,42.01,19.62472
dajt,41.39361,19.91583
dajç,41.99167,19.41056
cukalat,40.73028,19.79056
cudhi zall,41.50944,19.84583
cërrik,41.03167,19.97583
cakran,40.60333,19.62611
bushat,42.11944,19.89972
bubullimë,40.81806,19.64083
bubq,41.47417,19.65167
brataj,40.26778,19.66917
bërzhitë,41.24528,19.90111
bërxull,41.38,19.6875
bërdica e madhe,42.01528,19.48167
berat,40.70583,19.95222
belsh,40.975,19.88194
baz,41.63194,19.92917
ballsh,40.59889,19.73472
ballagat,40.99528,19.76528
baldushk,41.21389,19.79694
armen,40.53639,19.59611
aranitas,40.59444,19.80667
allkaj,40.8575,19.75528
allambres,40.7025,19.8025
balldreni i ri,41.81917,19.64028
aliaj,42.25667,19.4275
grudë-fushë,42.16222,19.49667
kodër-vorë,41.38306,19.66028
lapardha dy,40.7625,19.96139
dushk,40.72667,19.75722
vllahinë,40.45694,19.64361
bajram curri,42.35734,20.07679
lumas,40.8182,19.99378
qendër skrapar,40.5082,20.23419
zaritap,39.63892,45.51111
zangakatun,39.82233,45.04169
goravan,39.90539,44.73131
yeghegnavan,39.83893,44.61951
yeghegnadzor,39.7644,45.33268
vostan,39.96515,44.55937
vosketap,39.88114,44.64917
vernashen,39.79236,45.36389
verishen,39.53117,46.31829
vedi,39.91291,44.72083
vayk,39.69026,45.46919
tegh,39.55826,46.48054
vanashen,39.90008,44.6889
surenavan,39.79449,44.77508
sisian,39.52191,46.02696
sisavan,39.90802,44.66721
shinuhayr,39.4367,46.31787
lusarat,39.87403,44.58678
shahumyan,39.94171,44.57233
shatin,39.83612,45.30292
shaki,39.56499,45.99861
